mac,hour_of_day,day_of_week,times_seen,lat,lon
2E:20:02:00:05:E3,9,4,1,,
00:0C:42:FB:9E:AF,9,4,4,,
A0:D7:F3:27:19:6C,9,4,2,,
52:E9:ED:96:B6:7E,9,4,1,,
EC:35:86:4C:0E:E6,9,4,2,,
3E:23:50:88:19:A0,9,4,1,115.850447,-31.972685
10:13:31:E6:BB:AE,9,4,3,,
D2:17:0B:9F:16:FE,9,4,1,115.850417,-31.972717
EE:B6:19:97:CC:10,9,4,1,115.850417,-31.972717
74:DA:DA:A1:06:4F,9,4,3,,
84:C0:EF:FD:50:1D,9,4,1,,
6A:35:1D:D8:71:4F,9,4,2,,
D4:35:1D:D8:91:4D,9,4,1,,
FE:64:1F:F4:15:5C,9,4,1,115.850418,-31.972718
4E:4E:7A:7B:76:12,9,4,1,115.850398,-31.972737
7E:6A:EA:90:14:72,9,4,1,115.850398,-31.972737
96:AE:8C:B7:30:20,9,4,1,115.85039,-31.972732
78:45:58:16:F5:02,9,4,1,,
62:46:81:45:4A:F2,9,4,1,115.85039,-31.97273
06:5B:98:8E:41:15,9,4,1,115.85039,-31.97273
3A:9C:70:9E:36:38,9,4,1,,
28:66:E3:E6:07:8D,9,4,2,115.850405,-31.972705
56:D5:9B:35:0A:F6,9,4,3,115.850658,-31.972438
B0:7F:B9:49:72:BA,9,4,1,115.850382,-31.972735
52:5D:89:79:6A:C8,9,4,1,115.850383,-31.972735
D4:35:1D:77:EF:74,9,4,1,,
8C:85:90:AE:50:5D,9,4,1,,
DE:A5:1D:56:C2:FD,9,4,1,,
24:18:1D:63:78:7A,9,4,2,,
C8:3A:35:BC:07:73,9,4,1,,
26:98:6D:47:82:5B,9,4,1,,
28:7F:CF:F6:B8:C3,9,4,1,115.85037,-31.97272
C8:4B:D6:3B:ED:E6,9,4,1,,
28:87:BA:12:96:29,9,4,1,,
A0:D7:F3:52:6C:CC,9,4,3,,
